,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
50,Mehamn,100,NO,1579942652,80,71.04,27.85,22.26,22.64
51,Longyearbyen,0,SJ,1579942276,59,78.22,15.64,1.4,14.99
52,New Norfolk,75,AU,1579942652,46,-42.78,147.06,73.4,13.87
53,Cecina,75,IT,1579942786,93,43.31,10.52,52.0,11.41
54,Plastun,0,RU,1579942788,58,44.76,136.29,6.94,5.73
55,Djougou,0,BJ,1579942789,11,9.71,1.67,73.4,14.99
56,Saint George,1,US,1579942599,92,37.1,-113.58,41.0,3.36
57,Katobu,63,ID,1579942791,83,-4.94,122.53,83.23,2.35
58,Olafsvik,100,IS,1579942296,94,64.89,-23.71,28.42,29.95
59,Khatanga,95,RU,1579942794,89,71.97,102.5,-17.88,5.59
60,College,90,US,1579942583,76,64.86,-147.8,-2.2,3.18
61,Deyang,35,CN,1579942796,1,31.13,104.38,55.0,6.76
62,Mataura,99,NZ,1579942659,76,-46.19,168.86,61.0,1.99
63,Albany,75,US,1579942650,74,42.6,-73.97,35.6,9.17
64,Sheltozero,100,RU,1579942800,91,61.37,35.37,30.58,19.64
65,Esim,43,GH,1579942802,62,4.87,-2.24,85.42,2.98
66,Srednekolymsk,48,RU,1579942803,87,67.45,153.68,-37.41,5.79
67,Salalah,20,OM,1579942507,58,17.02,54.09,82.4,4.7
68,Westport,75,US,1579942076,86,41.14,-73.36,39.99,20.87
69,Moba,28,CN,1579942807,53,33.23,105.02,38.84,8.16
70,Ushuaia,40,AR,1579942551,93,-54.8,-68.3,44.6,8.05
71,Egvekinot,80,RU,1579942809,99,66.32,-179.17,-9.08,0.83
72,Faanui,19,PF,1579942660,77,-16.48,-151.75,82.33,12.93
73,Awjilah,36,LY,1579942812,48,29.11,21.29,57.9,9.06
74,Morehead,90,US,1579942813,93,37.27,-87.18,36.0,3.36
75,Bichura,9,RU,1579942814,87,50.59,107.6,8.01,1.34
76,Tabalosos,100,PE,1579942816,98,-6.35,-76.68,68.41,0.43
77,Luderitz,0,NA,1579942367,57,-26.65,15.16,77.0,4.7
78,Opuwo,60,NA,1579942818,28,-18.06,13.84,82.89,6.24
79,Port Lincoln,3,AU,1579942819,63,-34.73,135.87,72.28,12.53
80,Sao Joao da Barra,100,BR,1579942821,87,-21.64,-41.05,73.6,4.43
81,Ucluelet,100,CA,1579942822,99,48.93,-125.55,42.01,8.12
82,Bambous Virieux,75,MU,1579942650,78,-20.34,57.76,84.99,19.46
83,Palamos,90,ES,1579942824,100,41.85,3.13,52.0,3.36
84,Altay,67,CN,1579942826,71,47.87,88.12,15.35,1.74
85,Mersa Matruh,75,EG,1579942827,51,31.35,27.25,59.0,6.24
86,Punta Arenas,75,CL,1579942550,81,-53.15,-70.92,46.4,9.17
87,Tuktoyaktuk,100,CA,1579942643,96,69.45,-133.04,-12.06,17.25
88,Hornepayne,100,CA,1579942831,96,49.21,-84.77,24.24,5.77
89,Florence,75,IT,1579942717,93,43.77,11.25,54.0,1.12
90,Arraial do Cabo,40,BR,1579942671,88,-22.97,-42.03,73.4,12.75
91,Kazachinskoye,100,RU,1579942358,84,57.7,93.28,29.32,9.26
92,Bathsheba,40,BB,1579942836,83,13.22,-59.52,77.0,10.29
93,San Patricio,57,MX,1579942675,79,19.22,-104.7,74.71,4.27
94,Amapa,55,BR,1579942338,99,1.0,-52.0,71.11,2.13
95,Catherinas Lust,77,GY,1579942839,79,6.4,-57.6,78.85,13.27
96,Mackay,90,AU,1579942840,94,-21.15,149.2,78.01,9.17
97,Chui,0,UY,1579942842,84,-33.7,-53.46,66.29,8.9
98,Edson,90,CA,1579942843,100,53.58,-116.44,24.8,3.36
99,Alofi,100,NU,1579942548,100,-19.06,-169.92,77.0,2.24
100,Narsaq,100,GL,1579942659,85,60.92,-46.05,17.6,1.61
101,Mahebourg,75,MU,1579942301,78,-20.41,57.7,84.99,19.46
102,Beidao,4,CN,1579942848,42,34.57,105.89,40.35,6.11
103,Solnechnyy,0,RU,1579942849,91,50.72,136.63,-14.17,3.31
104,Ostrovnoy,100,RU,1579942850,92,68.05,39.51,8.11,2.71
105,Yellowknife,20,CA,1579942467,77,62.46,-114.35,0.0,9.17
106,Nelipyno,90,UA,1579942853,92,48.56,23.03,28.4,3.56
107,Inuvik,90,CA,1579942729,76,68.35,-133.72,-7.6,13.87
108,Bengkulu,100,ID,1579942689,91,-3.8,102.27,79.12,2.26
109,Araouane,100,ML,1579942857,11,18.9,-3.53,78.21,8.1
110,Wamba,85,NG,1579942811,7,8.93,8.6,84.16,4.14
111,Atuona,0,PF,1579942635,79,-9.8,-139.03,80.56,12.71
112,Kongoussi,12,BF,1579942861,8,13.33,-1.53,78.46,19.28
113,Maniitsoq,100,GL,1579942862,85,65.42,-52.9,12.31,6.2
114,Ponta do Sol,40,PT,1579942675,62,32.67,-17.1,59.0,9.17
115,Hobart,75,AU,1579942644,46,-42.88,147.33,73.4,13.87
116,Palmer,90,US,1579942168,86,42.16,-72.33,36.0,4.7
117,Ende,62,ID,1579942867,68,-8.84,121.66,84.97,4.97
118,Matay,0,EG,1579942812,39,28.42,30.78,56.57,13.18
119,Flinders,40,AU,1579942517,78,-34.58,150.86,79.0,12.75
120,Chiredzi,94,ZW,1579942870,44,-21.05,31.67,86.81,6.51
121,Ahipara,31,NZ,1579942872,77,-35.17,173.17,67.75,14.32
122,Santa Marta,85,CO,1579942873,84,11.24,-74.2,61.39,2.44
123,Buckeye,1,US,1579942800,75,33.37,-112.58,52.0,4.7
124,Galle,100,LK,1579942876,77,6.04,80.22,81.0,6.4
125,Port Elizabeth,0,ZA,1579942583,69,-33.92,25.57,75.2,11.41
126,Mtsensk,91,RU,1579942878,95,53.28,36.57,34.38,15.86
127,Canberra,0,AU,1579942766,20,-35.28,149.13,86.0,10.29
128,Ilulissat,53,GL,1579942880,39,69.22,-51.1,12.2,17.22
129,Businga,52,CD,1579942882,13,3.33,20.88,87.82,5.57
130,Mossamedes,20,AO,1579942883,78,-15.2,12.15,75.2,8.05
131,Clyde River,1,CA,1579942884,74,70.47,-68.59,-27.4,2.24
132,Carnarvon,41,AU,1579942672,58,-24.87,113.63,87.8,21.92
133,Kumluca,0,TR,1579942325,51,36.37,30.29,48.38,3.09
134,Nisia Floresta,75,BR,1579942483,88,-6.09,-35.21,78.8,3.36
135,Kodiak,90,US,1579942509,62,57.79,-152.41,19.4,13.87
136,Baiyin,0,CN,1579942890,40,36.56,104.21,33.8,4.47
137,Hilo,75,US,1579942438,73,19.73,-155.09,73.4,3.36
138,Lagoa,100,PT,1579942893,88,39.05,-27.98,60.84,20.6
139,Kloulklubed,75,PW,1579942557,83,7.04,134.26,82.4,11.41
140,Karratha,51,AU,1579942895,81,-20.74,116.85,83.95,17.29
141,Mangrol,2,IN,1579942896,50,21.12,70.12,76.8,9.33
142,Matai,100,TZ,1579942897,92,-8.3,31.52,63.14,4.81
143,Tigre,75,AR,1579942552,73,-34.43,-58.58,77.0,3.36
144,Leningradskiy,99,RU,1579942651,81,69.38,178.42,-17.48,1.95
145,Shingu,75,JP,1579942901,66,33.73,135.98,51.8,1.12
146,Gallup,1,US,1579942902,85,35.53,-108.74,26.6,5.28
147,Lorengau,33,PG,1579942684,68,-2.02,147.27,84.83,6.78
148,Tucuma,83,BR,1579942905,93,-0.18,-50.05,76.59,5.55
149,Wanning,67,CN,1579942488,74,18.8,110.4,74.28,4.63
150,Broome,1,US,1579942907,32,42.25,-75.83,41.0,5.82
151,Luanda,75,AO,1579942652,74,-8.84,13.23,84.2,5.82
152,Saint-Pierre,92,RE,1579942910,78,-21.34,55.48,86.0,19.46
153,Los Llanos de Aridane,20,ES,1579942377,58,28.66,-17.92,59.0,10.29
154,Severo-Kuril'sk,100,RU,1579942679,90,50.68,156.12,16.23,48.94
155,Port Shepstone,100,ZA,1579942913,58,-30.74,30.45,81.95,9.91
156,Ferrol,18,ES,1579942915,100,43.48,-8.24,45.0,5.82
157,Wewak,0,PG,1579942916,84,-3.55,143.63,79.63,9.69
158,Ouargaye,0,BF,1579942917,7,11.5,0.06,80.96,20.45
159,Castro,91,BR,1579942688,98,-24.79,-50.01,56.25,0.69
160,Tateyama,75,JP,1579942545,57,34.98,139.87,50.0,11.41
161,Naze,75,JP,1579942921,88,28.37,129.48,71.6,9.17
162,Port Augusta,0,AU,1579942675,53,-32.5,137.77,86.0,18.34
163,Bredasdorp,22,ZA,1579942656,83,-34.53,20.04,73.4,5.64
164,Provideniya,1,RU,1579942925,96,64.38,-173.3,-9.76,5.23
165,Lucapa,77,AO,1579942926,84,-8.42,20.74,73.56,7.11
166,Port Moresby,40,PG,1579942927,74,-9.44,147.18,86.0,14.99
167,Bac Lieu,66,VN,1579942929,52,9.29,105.72,86.7,14.58
168,Banka,0,IN,1579942930,35,24.88,86.92,70.45,5.86
169,Tabou,21,CI,1579942931,79,4.42,-7.35,83.25,0.96
170,Ejea de los Caballeros,75,ES,1579942932,87,42.13,-1.14,44.6,4.7
171,La Ronge,90,CA,1579942748,92,55.1,-105.28,15.8,2.24
172,Kudahuvadhoo,100,MV,1579942935,80,2.67,72.89,82.49,14.45
173,Kuala Pilah,20,MY,1579942936,59,2.74,102.25,93.2,6.93
174,Kaitangata,0,NZ,1579942610,85,-46.28,169.85,57.36,2.1
175,Tiznit,0,MA,1579942939,70,29.58,-9.5,49.73,1.77
176,Nigde,0,TR,1579942940,67,37.83,34.75,30.07,1.36
177,Ulagan,100,RU,1579942941,73,50.63,87.96,16.7,8.77
178,Saint-Joseph,92,RE,1579942942,78,-21.37,55.62,86.0,19.46
179,Sfantu Gheorghe,23,RO,1579942944,79,45.87,25.78,30.0,4.14
180,Great Yarmouth,75,GB,1579942945,87,52.61,1.73,43.0,6.93
181,Esperance,0,AU,1579942946,57,-33.87,121.9,75.2,14.99
182,Karkala,100,IN,1579942947,34,13.2,74.98,93.2,3.36
183,Sabang,86,ID,1579942689,75,5.89,95.32,82.38,14.16
184,San Jeronimo,100,PE,1579942361,86,-11.95,-75.28,44.47,2.86
185,Samarai,31,PG,1579942951,85,-10.62,150.67,79.41,5.26
186,Jalu,36,LY,1579942952,48,29.03,21.55,57.9,9.06
187,Hammerfest,90,NO,1579942953,85,70.66,23.68,23.0,21.92
188,Tretten,100,NO,1579942955,87,61.31,10.3,13.26,3.44
189,Noyabrsk,98,RU,1579942956,98,63.2,75.45,-1.91,9.91
190,Puerto Ayora,70,EC,1579942668,36,-0.74,-90.35,75.99,3.0
191,Batagay-Alyta,0,RU,1579942958,56,67.8,130.41,-34.67,4.32
192,Sioux Lookout,90,CA,1579942960,92,50.1,-91.92,21.2,2.24
193,Inta,86,RU,1579942961,95,66.03,60.17,-0.35,7.58
194,Khasan,12,RU,1579942962,77,42.43,130.64,14.52,1.57
195,Paamiut,100,GL,1579942963,68,61.99,-49.67,14.85,17.29
196,Sabha,46,LY,1579942965,25,27.04,14.43,59.97,12.37
197,Derzhavinsk,100,KZ,1579942966,94,51.1,66.32,5.16,19.08
198,Vila Velha,90,BR,1579942421,94,-20.33,-40.29,77.0,12.75
199,Lopatyn,46,UA,1579942969,61,50.22,24.85,33.89,13.47
200,Ormara,89,PK,1579942970,70,25.21,64.64,71.35,11.01
201,Chase,5,CA,1579942971,99,50.82,-119.69,33.8,2.24
202,Itarema,35,BR,1579942972,91,-2.92,-39.92,75.76,4.09
203,Mount Gambier,90,AU,1579942974,72,-37.83,140.77,68.0,13.87
204,Brigantine,90,US,1579942781,81,39.41,-74.36,48.99,14.99
205,Buala,0,SB,1579942523,77,-8.14,159.59,80.62,7.67
206,Shebunino,100,RU,1579942977,93,46.43,141.86,4.51,7.11
207,Merauke,100,ID,1579942978,76,-8.47,140.33,80.69,1.52
208,Dumas,1,US,1579942980,80,35.87,-101.97,48.2,9.17
209,Talnakh,40,RU,1579942981,78,69.49,88.4,8.6,22.37
210,Kirs,100,RU,1579942982,93,59.34,52.24,16.14,5.84
211,Butembo,79,CD,1579942984,28,0.15,29.28,82.87,4.74
212,Havelock,90,US,1579942985,93,34.88,-76.9,63.0,14.99
213,Leh,86,IN,1579942986,90,34.17,77.58,7.36,2.15
214,Souillac,75,MU,1579942673,78,-20.52,57.52,84.99,19.46
215,Hervey Bay,40,AU,1579942591,65,-25.3,152.85,82.4,11.41
216,Mayo,90,US,1579942990,93,38.89,-76.51,50.0,9.17
217,Dudinka,40,RU,1579942991,78,69.41,86.18,8.6,22.37
218,Biloxi,1,US,1579942992,81,30.4,-88.89,42.8,3.65
219,Berlevag,89,NO,1579942994,75,70.86,29.09,26.89,23.31
220,Fortuna,90,US,1579942995,82,40.6,-124.16,57.2,8.05
221,Boali,13,CF,1579942996,10,4.8,18.13,77.0,2.24
222,Mahanoro,100,MG,1579942997,72,-19.9,48.8,79.68,15.19
223,Bodden Town,0,KY,1579942998,71,19.28,-81.25,75.0,8.01
224,Vaitape,19,PF,1579943000,77,-16.52,-151.75,82.33,12.93
225,Cabo San Lucas,100,MX,1579942814,85,22.89,-109.91,64.99,4.32
226,Omboue,54,GA,1579942665,75,-1.57,9.26,84.11,1.16
227,Gariadhar,20,IN,1579943003,12,21.53,71.58,88.83,7.14
228,Torbay,5,CA,1579942491,72,47.67,-52.73,12.0,16.11
229,Avera,90,US,1579943006,90,33.19,-82.53,48.2,4.7
230,Padang,100,ID,1579942739,96,-0.95,100.35,74.89,3.06
231,Pentecoste,26,BR,1579943008,76,-3.79,-39.27,81.0,1.99
232,Manaure,0,CO,1579942473,82,11.78,-72.44,77.4,8.41
233,Barquisimeto,99,VE,1579942994,68,10.07,-69.32,71.6,2.24
234,Chiang Khong,0,TH,1579943012,26,20.26,100.4,84.2,4.7
235,Touros,40,BR,1579942863,88,-5.2,-35.46,77.0,3.36
236,Faya,40,SA,1579943015,71,18.39,42.45,57.2,21.92
237,Concarneau,90,FR,1579943016,100,47.88,-3.92,44.6,6.93
238,Alvorada,100,BR,1579943017,97,-12.48,-49.12,72.21,1.99
239,Praia da Vitoria,20,PT,1579943018,87,38.73,-27.07,59.0,21.27
240,Saskylakh,100,RU,1579942655,91,71.92,114.08,-22.65,21.52
241,Goroka,94,PG,1579943021,95,-6.08,145.39,64.02,2.48
242,Mashhad,20,IR,1579943022,61,36.3,59.61,46.4,4.7
243,La Palma,90,US,1579943023,93,33.85,-118.05,57.99,0.58
244,Tiarei,20,PF,1579943024,74,-17.53,-149.33,80.6,3.36
245,Richards Bay,98,ZA,1579943026,72,-28.78,32.04,81.19,20.78
246,Itaperucu,75,BR,1579942821,100,-25.22,-49.35,60.8,3.36
247,Grand-Santi,98,GF,1579943028,99,4.25,-54.38,69.67,1.9
248,Pacific Grove,1,US,1579943029,93,36.62,-121.92,55.99,3.62
249,Aklavik,90,CA,1579943031,76,68.22,-135.01,-7.6,13.87
250,Tezu,0,IN,1579943032,42,27.92,96.17,64.71,2.89
251,Henties Bay,0,NA,1579943033,93,-22.12,14.28,66.0,1.99
252,Ginda,0,IN,1579943034,40,30.69,78.49,58.05,8.3
253,Bonthe,0,SL,1579943036,76,7.53,-12.51,78.44,3.53
254,Coquimbo,40,CL,1579943037,93,-29.95,-71.34,62.6,4.7
255,Hithadhoo,38,MV,1579942974,80,-0.6,73.08,82.58,13.85
256,Banjar,40,ID,1579943039,66,-8.19,114.97,91.4,6.93
257,Quatre Cocos,75,MU,1579943040,78,-20.21,57.76,84.0,19.46
258,Rocha,33,UY,1579942863,41,-34.48,-54.33,71.82,13.24
259,Saldanha,82,ZA,1579943043,68,-33.01,17.94,69.8,14.99
260,Lompoc,1,US,1579942653,71,34.64,-120.46,57.99,12.41
261,Srivardhan,51,IN,1579943045,43,18.03,73.02,85.89,11.61
262,Pochutla,0,MX,1579943046,80,15.74,-96.47,77.99,6.85
263,Tubuala,95,PA,1579943048,83,9.52,-79.03,75.2,5.82
264,Kichera,100,RU,1579943049,97,55.94,110.1,9.59,3.89
265,Wahpeton,100,US,1579943050,85,46.27,-96.61,24.8,4.7
266,Newry,90,GB,1579942845,93,54.18,-6.34,44.6,9.17
267,Klaksvik,100,FO,1579943053,93,62.23,-6.59,46.4,26.4
268,Maxixe,40,MZ,1579943054,55,-23.86,35.35,86.0,9.17
269,Marsabit,100,KE,1579942456,64,2.33,37.99,77.97,17.36
270,Seredka,20,RU,1579943057,74,58.16,28.19,37.4,15.66
271,Pasighat,0,IN,1579943058,57,28.07,95.33,63.95,1.48
272,Tuatapere,30,NZ,1579943059,87,-46.13,167.68,50.76,1.5
273,Laguna,90,US,1579943060,90,38.42,-121.42,54.0,3.22
274,Hamilton,90,US,1579942792,86,39.18,-84.53,37.99,5.82
275,Tyup,0,KG,1579943063,78,42.73,78.36,26.6,3.38
276,Isangel,4,VU,1579942677,82,-19.55,169.27,78.44,12.15
277,Ranong,40,TH,1579943065,44,9.97,98.63,93.2,6.93
278,Yangi Marg`ilon,37,UZ,1579943066,54,40.43,71.72,42.8,2.24
279,Beipiao,0,CN,1579943068,75,41.79,120.78,18.64,4.94
280,Tottori,75,JP,1579942850,74,35.5,134.23,46.4,16.11
281,Rio de Janeiro,75,BR,1579943070,88,-22.9,-43.21,73.4,3.36
282,Indianola,90,US,1579943071,86,41.36,-93.56,30.2,11.41
283,Yokadouma,24,CM,1579943073,10,3.52,15.05,86.31,6.49
284,Paengaroa,0,NZ,1579943074,90,-37.82,176.42,68.0,1.81
285,Isiro,100,CD,1579943075,15,2.77,27.62,86.02,6.22
286,Casablanca,90,MA,1579942778,100,33.59,-7.62,55.99,16.11
287,Leisure City,90,US,1579943077,93,25.5,-80.43,69.8,5.82
288,Tura,1,IN,1579943079,38,25.52,90.22,75.15,3.76
289,The Valley,75,AI,1579943080,83,18.22,-63.06,77.0,5.82
290,Bilibino,98,RU,1579943081,92,68.05,166.44,-15.83,2.55
291,Sokolo,100,ML,1579943082,7,14.73,-6.12,79.7,14.16
292,Mount Vernon,90,US,1579943084,86,40.91,-73.84,42.01,10.22
293,Mabaruma,36,GY,1579943085,99,8.2,-59.78,67.78,1.74
294,Norman Wells,90,CA,1579942670,76,65.28,-126.83,-7.6,8.05
295,Sola,0,VU,1579942659,80,-13.88,167.55,82.15,15.68
296,Pevek,100,RU,1579942678,96,69.7,170.31,-20.61,5.55
297,Moses Lake,20,US,1579943090,92,47.13,-119.28,42.01,5.82
298,Kruisfontein,0,ZA,1579943091,53,-34.0,24.73,80.69,8.75
299,Margate,75,GB,1579942656,93,51.38,1.39,42.01,9.17
300,Wajir,100,KE,1579943094,42,1.75,40.06,91.9,13.56
301,Banda Aceh,95,ID,1579942503,54,5.56,95.32,87.53,8.97
302,Namie,75,JP,1579943097,47,37.48,141.0,36.0,12.75
303,Muncar,33,ID,1579943098,72,-8.43,114.33,84.15,12.37
304,Te Anau,19,NZ,1579943099,88,-45.42,167.72,58.51,2.1
305,Teeli,100,RU,1579943100,88,51.03,90.23,6.51,2.66
306,Vardo,40,NO,1579942984,79,70.37,31.11,21.2,16.11
307,Teknaf,0,BD,1579943103,29,20.86,92.31,76.86,6.91
308,Shonguy,75,RU,1579943104,84,68.75,33.15,3.2,1.72
309,Saint Anthony,90,US,1579943105,86,45.02,-93.22,30.2,9.17
310,Karpathos,20,GR,1579942670,58,35.51,27.21,59.0,11.41
311,Tevaitoa,2,PF,1579943108,77,-16.78,-151.5,82.06,12.88
312,Biloela,100,AU,1579943109,90,-24.42,150.5,74.32,5.08
313,Mount Isa,75,AU,1579943110,100,-20.73,139.5,77.0,6.93
314,Vanavara,100,RU,1579943111,97,60.34,102.28,21.45,3.83
315,Sobolevo,100,RU,1579943113,90,54.43,31.9,36.37,16.58
316,Tandil,99,AR,1579943114,93,-37.32,-59.13,64.0,0.11
317,Buraidah,0,SA,1579942528,57,26.33,43.98,50.0,17.22
318,Waipawa,100,NZ,1579943117,88,-41.41,175.52,66.99,16.11
319,Northam,75,GB,1579942520,93,51.03,-4.22,45.0,6.93
320,Novopavlovka,35,RU,1579943119,87,51.22,109.21,10.09,0.81
321,Bauska,40,LV,1579943120,86,56.41,24.19,37.4,5.82
322,Necochea,100,AR,1579943122,98,-38.55,-58.74,55.99,1.01
323,Kailua,20,US,1579943123,73,21.4,-157.74,73.4,5.82
324,Umm Kaddadah,0,SD,1579943124,18,13.6,26.69,65.21,21.65
325,Vostok,46,RU,1579943126,99,46.49,135.88,-11.54,3.69
326,Dukat,100,RU,1579942615,97,62.55,155.55,-31.02,6.55
327,George Town,20,MY,1579943043,66,5.41,100.34,89.6,12.75
328,Cadillac,90,US,1579943130,99,44.25,-85.4,34.0,3.36
329,Tautira,20,PF,1579943131,74,-17.73,-149.15,80.6,3.36
330,Dikson,100,RU,1579943132,94,73.51,80.55,-2.54,8.12
331,Haines Junction,97,CA,1579943133,98,60.75,-137.51,-13.18,6.35
332,Wad Rawah,0,SD,1579943135,16,15.16,33.14,76.28,15.43
333,Dalaba,14,GN,1579943136,13,10.7,-12.25,74.53,3.65
334,Bajil,68,YE,1579943138,64,15.06,43.29,73.74,6.82
335,Otane,74,NZ,1579943139,84,-39.88,176.63,66.0,2.26
336,Ossora,100,RU,1579943140,95,59.24,163.07,30.04,28.97
337,Goderich,100,CA,1579943141,86,43.75,-81.72,39.99,8.68
338,Saint-Philippe,100,RE,1579942670,78,-21.36,55.77,86.0,19.46
339,Barra do Garcas,2,BR,1579943144,98,-15.89,-52.26,70.09,3.27
340,Meulaboh,3,ID,1579943145,70,4.14,96.13,85.53,9.62
341,Nioro,33,GM,1579943146,20,13.35,-15.75,83.3,12.62
342,Seymchan,100,RU,1579942678,97,62.88,152.43,-27.24,7.23
343,East London,0,ZA,1579942655,54,-33.02,27.91,82.4,8.05
344,Vanimo,0,PG,1579943150,79,-2.67,141.3,83.59,13.56
345,Chalinze,100,TZ,1579943151,92,-6.64,38.35,77.88,3.09
346,Port Hedland,0,AU,1579943152,59,-20.32,118.57,95.0,18.34
347,Aden,53,YE,1579943087,56,12.78,45.04,83.91,10.11
348,Shache,69,CN,1579943155,41,38.42,77.24,34.81,3.11
349,San Cristobal,100,VE,1579943156,95,7.77,-72.22,53.31,2.37
350,Hoi An,20,VN,1579943157,74,15.88,108.33,78.8,10.29
351,San Juan,1,AR,1579943159,33,-31.54,-68.54,82.0,2.59
352,Tara,100,RU,1579943160,93,56.89,74.37,10.04,9.42
353,Natal,75,BR,1579943037,88,-5.79,-35.21,78.8,3.36
354,Kenai,1,US,1579943162,83,60.55,-151.26,12.0,3.36
355,Chunoyar,100,RU,1579943164,91,57.45,97.32,26.26,5.86
356,Valparaiso,90,CL,1579943165,93,-33.04,-71.63,60.8,2.3
357,Airai,100,TL,1579943166,93,-8.93,125.41,72.54,2.08
358,Ambon,40,ID,1579943148,66,-3.7,128.18,87.8,12.75
359,Marand,0,IR,1579943169,57,38.43,45.77,26.6,9.17
360,Celestun,0,MX,1579943170,79,20.87,-90.4,72.23,13.04
361,Rawson,1,AR,1579942652,73,-43.3,-65.1,61.18,14.5
362,Saint-Pierre-des-Corps,19,FR,1579943172,100,47.38,0.73,37.0,3.36
363,Laas,20,IT,1579943174,85,46.62,10.7,37.99,2.24
364,Bocanda,0,CI,1579943175,34,7.06,-4.5,82.15,2.53
365,Namatanai,32,PG,1579943176,75,-3.67,152.43,83.71,9.28
366,La Orilla,33,MX,1579943177,85,17.98,-102.23,72.28,4.32
367,Dzilam Gonzalez,22,MX,1579943178,75,21.28,-88.93,73.44,10.94
368,Sept-Iles,5,CA,1579943175,83,50.2,-66.38,-4.0,3.36
369,Cap Malheureux,75,MU,1579943181,78,-19.98,57.61,84.0,19.46
370,Safranbolu,0,TR,1579942997,85,41.25,32.69,34.84,4.0
371,Pitimbu,40,BR,1579943184,94,-7.47,-34.81,77.0,4.7
372,Sebrovo,100,RU,1579943185,88,50.1,43.3,36.0,1.99
373,Acapulco de Juarez,40,MX,1579943186,88,16.86,-99.89,75.2,4.7
374,Saryg-Sep,18,RU,1579943187,90,51.5,95.6,9.16,2.28
